,0
clas,-0.07465066553950503
fami,-0.07515189075670262
genu,-0.07487343230270396
king,-0.07470635723030472
orde,-0.0747620489211045
phyl,-0.07487343230270394
spec,-0.4238720632908717
zotu,-0.07487343230270391
